phone_brand	condition
Samsung	Excellent
Apple	Bad
Samsung	Excellent
Xiaomi	Bad
Samsung	Excellent
Xiaomi	Good
Xiaomi	Excellent
Xiaomi	Bad
Samsung	Bad
Apple	Bad
Apple	Bad
Apple	Good
Xiaomi	Excellent
Apple	Bad
Apple	Bad
Xiaomi	Bad
Xiaomi	Bad
Samsung	Bad
Samsung	Excellent
Apple	Excellent
Samsung	Good
Apple	Good
Apple	Bad
Samsung	Excellent
Samsung	Bad
Apple	Bad
Samsung	Bad
Apple	Bad
Apple	Bad
Samsung	Bad
Xiaomi	Bad
Apple	Bad
Samsung	Excellent
Apple	Good
Samsung	Good
Apple	Good
Apple	Good
Apple	Excellent
Apple	Excellent
Xiaomi	Good
Samsung	Good
Xiaomi	Good
Samsung	Bad
Apple	Good
Xiaomi	Bad
Samsung	Good
Apple	Good
Samsung	Bad
Xiaomi	Good
Xiaomi	Good
Samsung	Bad
Samsung	Excellent
Apple	Good
Apple	Bad
Apple	Bad
Xiaomi	Excellent
Xiaomi	Good
Xiaomi	Bad
Samsung	Good
Apple	Bad
