Gender	Age	Faculty	FinancialMethods	Allowance	PartTime	MoneyMgmtDifficulty	AbilityPrepareBudget	ParentsGoodExample	AppreciateAdvice	FriendsSaveRegularly	DiscussWithFriends	BuyNowThinkLater	RarelyAchieveGoal	PutMoneyAside	ComparePrices
Male	21.5	FTMK	PTPTN	 650.50 	No	5	4	4	5	2	2	1	2	4	5
Male	21.5	FTMK	PTPTN	 100.00 	No	3	3	3	3	3	3	3	3	3	3
Female	21.5	FTMK	PTPTN	 350.50 	No	3	3	4	4	3	3	4	4	4	5
Male	21.5	FTMK	PTPTN	 100.00 	No	4	3	3	4	3	2	2	3	3	4
Male	21.5	FTMK	PTPTN	 350.50 	No	3	3	4	3	1	3	1	3	3	5
Male	21.5	FTMK	Parents	 350.50 	Yes	3	3	3	4	2	2	3	4	4	4
Female	21.5	FTMK	Parents	 650.50 	No	4	2	3	3	2	2	3	2	5	3
Female	21.5	FTMK	Parents	 350.50 	No	4	3	5	5	2	1	3	3	3	3
Female	19.5	FTMK	PTPTN	 100.00 	No	3	2	3	3	4	2	4	4	3	2
Male	21.5	FTMK	PTPTN	 100.00 	No	3	3	5	5	2	3	4	3	1	2
Female	19.5	FTMK	PTPTN	 100.00 	No	1	2	5	5	4	1	1	4	1	4
Female	19.5	FTMK	Parents	 100.00 	No	2	3	3	3	3	3	4	3	3	3
Female	19.5	FTMK	PTPTN	 100.00 	Yes	3	3	3	4	3	4	3	3	3	3
Male	21.5	FTMK	Parents	 350.50 	No	5	5	5	5	5	4	2	4	4	5
Male	24	FTMK	PTPTN	 100.00 	No	3	3	4	4	4	2	3	3	4	4
Female	19.5	FPTT	Parents	 100.00 	No	4	4	4	4	2	2	2	3	3	3
Female	19.5	FTMK	PTPTN	 100.00 	No	3	4	4	4	3	3	2	3	4	4
Male	19.5	FTMK	PTPTN	 100.00 	No	2	3	5	5	2	4	5	5	4	5
Male	19.5	FTMK	PTPTN	 100.00 	No	2	2	4	4	2	4	1	4	3	4
Male	19.5	FKE	PTPTN	 100.00 	No	2	4	4	4	4	3	2	3	4	4
Male	21.5	FTMK	PTPTN	 350.50 	No	5	3	3	3	3	3	3	3	3	5
Female	21.5	FTMK	PTPTN	 100.00 	No	4	5	3	4	5	3	1	3	4	3
Female	19.5	FTMK	PTPTN	 350.50 	No	3	4	5	5	3	4	1	3	4	4
Female	21.5	FTMK	Parents	 350.50 	No	4	3	3	4	4	2	1	2	3	4
Female	21.5	FKP	Others	 350.50 	No	3	3	3	3	3	3	3	3	3	3
Female	19.5	FTMK	PTPTN	 100.00 	No	3	3	3	3	3	3	1	3	3	3
Male	21.5	FKP	PTPTN	 100.00 	Yes	1	5	4	4	2	1	1	1	1	5
Male	21.5	FKE	PTPTN	 350.50 	No	4	2	3	4	5	2	1	2	5	4
Male	21.5	FKE	PTPTN	 350.50 	No	3	3	5	5	2	1	1	1	3	2
Male	21.5	FTMK	Parents	 100.00 	No	3	3	3	3	3	3	3	3	3	3
Female	19.5	FTMK	PTPTN	 100.00 	No	2	2	4	4	4	3	3	3	3	4
Female	24	FTMK	Others	 100.00 	No	4	3	3	3	4	2	2	2	4	4
Female	24	FKE	Others	 100.00 	No	3	2	4	5	2	2	2	3	4	4
Male	19.5	FKM	PTPTN	 650.50 	No	4	2	3	4	5	2	3	3	4	4
Female	21.5	FKM	PTPTN	 100.00 	No	3	2	2	2	1	4	3	3	2	4
Male	19.5	FKE	Parents	 350.50 	No	5	5	4	4	3	3	1	2	4	5
Male	19.5	FTMK	PTPTN	 100.00 	No	3	4	4	5	3	3	3	4	3	5
Male	19.5	FTMK	Parents	 650.50 	No	3	3	4	5	4	3	2	4	5	5
Female	21.5	FTMK	PTPTN	 350.50 	No	2	4	5	5	2	1	4	5	3	5
Male	19.5	FPTT	PTPTN	 100.00 	No	1	4	4	4	2	2	1	4	4	4
Female	21.5	FTMK	PTPTN	 100.00 	Yes	4	2	3	4	4	2	4	2	4	4
Male	21.5	FTKEE	PTPTN	 350.50 	Yes	1	2	2	3	1	5	5	3	3	5
Female	19.5	FTMK	PTPTN	 100.00 	No	4	4	5	4	4	3	2	2	4	4
Female	21.5	FTMK	PTPTN	 350.50 	No	3	5	4	5	3	1	3	5	1	5
Male	21.5	FKE	Parents	 350.50 	No	4	3	4	5	4	3	3	4	3	5
Male	21.5	FKE	PTPTN	 350.50 	Yes	3	3	3	3	3	3	3	3	3	3
Female	21.5	FPTT	PTPTN	 350.50 	No	4	3	3	3	4	2	4	2	2	3
Male	21.5	FKE	PTPTN	 100.00 	No	4	4	5	4	4	4	4	4	4	4
Male	19.5	FKP	PTPTN	 100.00 	Yes	3	5	3	4	4	2	1	4	1	5
Male	19.5	FTMK	Parents	 350.50 	No	3	3	5	5	4	5	3	3	4	5
Male	21.5	FTMK	Parents	 100.00 	No	5	3	4	5	1	1	1	5	5	5
Female	24	FTKEE	PTPTN	 100.00 	Yes	5	4	5	5	5	4	5	5	5	5
Female	19.5	FTMK	Others	 350.50 	Yes	4	5	5	5	5	5	3	2	3	5
Male	21.5	FTMK	PTPTN	 100.00 	No	5	5	5	5	3	2	1	2	3	5
Male	19.5	FKM	Parents	 350.50 	No	5	3	2	4	2	3	2	4	4	2
Male	21.5	FTMK	PTPTN	 100.00 	No	3	5	5	5	5	3	1	1	3	3
Female	19.5	FTMK	Parents	 650.50 	No	2	2	4	3	4	2	5	4	3	2
Female	21.5	FTMK	PTPTN	 350.50 	Yes	3	3	4	4	3	3	4	4	4	4
Male	21.5	FTMK	Others	 650.50 	No	3	3	3	3	3	3	3	3	3	3
Female	19.5	FKM	Parents	 650.50 	No	4	2	4	3	2	2	3	2	3	4
